iter	MultiClass
0	1.944984739
1	1.944102632
2	1.943364812
3	1.942752876
4	1.94214784
5	1.941655282
6	1.941224201
7	1.940846677
8	1.940488413
9	1.940181356
10	1.939922147
11	1.939621146
12	1.939358723
13	1.939151765
14	1.938930943
15	1.938780431
16	1.938616629
17	1.938432793
18	1.938248837
19	1.938075301
20	1.937916902
21	1.937783227
22	1.937647472
23	1.937479997
24	1.93734822
25	1.937184099
26	1.937035473
27	1.936894159
28	1.936785397
29	1.936650637
30	1.936519974
31	1.936374307
32	1.936272657
33	1.936154426
34	1.936035141
35	1.935908239
36	1.935779008
37	1.935677198
38	1.935550715
39	1.935430731
40	1.935304682
41	1.935201905
42	1.935081124
43	1.934953097
44	1.934828238
45	1.934714172
46	1.934612656
47	1.934491958
48	1.934401665
49	1.934299355
50	1.934201742
51	1.934119667
52	1.934013022
53	1.933916261
54	1.933835903
55	1.933716868
56	1.933621486
57	1.933524196
58	1.933432613
59	1.933283595
60	1.93319139
61	1.933079059
62	1.932988881
63	1.932892582
64	1.932783914
65	1.932691885
66	1.932605656
67	1.932539
68	1.93246329
69	1.932366895
70	1.932272285
71	1.932180125
72	1.932083654
73	1.931982138
74	1.931889534
75	1.931782951
76	1.931686258
77	1.931575574
78	1.931510267
79	1.931418299
80	1.931325548
81	1.931229817
82	1.931168152
83	1.931076744
84	1.930980693
85	1.930904038
86	1.930804498
87	1.930711027
88	1.930637498
89	1.930547786
90	1.930454989
91	1.930348759
92	1.930278296
93	1.930208826
94	1.930133602
95	1.93004845
96	1.929979892
97	1.929885229
98	1.92979306
99	1.929704283
100	1.929627221
101	1.929533106
102	1.929442802
103	1.929355316
104	1.929277164
105	1.929169053
106	1.929095781
107	1.929019748
108	1.928934128
109	1.928867902
110	1.92879212
111	1.928717994
112	1.928633245
113	1.928554866
114	1.928481215
115	1.9283931
116	1.928293368
117	1.928220735
118	1.928136599
119	1.928050153
120	1.927984876
121	1.927900399
122	1.927816333
123	1.927711839
124	1.927629889
125	1.927547115
126	1.92746723
127	1.927387311
128	1.927308337
129	1.927222517
130	1.927139719
131	1.927044885
132	1.926958089
133	1.926863405
134	1.926756523
135	1.926658665
136	1.92657387
137	1.926490218
138	1.926413991
139	1.926335986
140	1.926271137
141	1.926182514
142	1.926105745
143	1.926009684
144	1.925914841
145	1.925809319
146	1.925719622
147	1.92564049
148	1.925555156
149	1.925469234
150	1.925377115
151	1.925292325
152	1.92522338
153	1.925140959
154	1.925059988
155	1.924952063
156	1.924869313
157	1.924779345
158	1.924708082
159	1.924628483
160	1.924548952
161	1.924484368
162	1.924411164
163	1.924319406
164	1.924227649
165	1.924120575
166	1.924042969
167	1.923957534
168	1.923864639
169	1.923781476
170	1.923695395
171	1.923606951
172	1.923522331
173	1.923447312
174	1.923370496
175	1.923284744
176	1.92318688
177	1.923116306
178	1.923037981
179	1.92296669
180	1.922883513
181	1.922812894
182	1.922726734
183	1.922633706
184	1.922553274
185	1.922485284
186	1.922411054
187	1.92235345
188	1.922293473
189	1.922215249
190	1.922146964
191	1.92207406
192	1.921998291
193	1.921931215
194	1.921863333
195	1.921793111
196	1.921715587
197	1.921644787
198	1.92159049
199	1.92152101
200	1.921435521
201	1.921364276
202	1.921283356
203	1.921190805
204	1.921110837
205	1.921040094
206	1.920964519
207	1.92086649
208	1.920786662
209	1.920721482
210	1.920649766
211	1.920581953
212	1.920509999
213	1.920452276
214	1.920375931
215	1.920298791
216	1.920230343
217	1.920146078
218	1.920060815
219	1.919978193
220	1.919905103
221	1.919836664
222	1.919765289
223	1.919689657
224	1.919616016
225	1.919545634
226	1.919481581
227	1.919419252
228	1.919353431
229	1.919278185
230	1.919200624
231	1.919125819
232	1.919045181
233	1.918977547
234	1.918908829
235	1.918835946
236	1.918759819
237	1.918679254
238	1.918617395
239	1.918548795
240	1.918469091
241	1.918390952
242	1.918321118
243	1.918254776
244	1.918186899
245	1.918115757
246	1.918055908
247	1.917974598
248	1.917915165
249	1.917841976
250	1.9177663
251	1.917702001
252	1.917632096
253	1.917558108
254	1.917493254
255	1.917425586
256	1.917356352
257	1.917284578
258	1.917212355
259	1.917130607
260	1.917052974
261	1.916993365
262	1.916937537
263	1.916875284
264	1.916790794
265	1.916718254
266	1.916657934
267	1.91659359
268	1.916534311
269	1.916456696
270	1.916388625
271	1.916305447
272	1.91621992
273	1.916166668
274	1.91610488
275	1.916034747
276	1.915961294
277	1.91589401
278	1.915826535
279	1.91576333
280	1.915714751
281	1.915644415
282	1.915583173
283	1.915531385
284	1.915457792
285	1.915391352
286	1.915325357
287	1.915258169
288	1.915193985
289	1.915137133
290	1.915066222
291	1.914992499
292	1.914933965
293	1.914869633
294	1.914800685
295	1.914741699
296	1.914679898
297	1.91462502
298	1.914555324
299	1.91448193
300	1.914415709
301	1.914353097
302	1.914281488
303	1.914212431
304	1.914148777
305	1.914080655
306	1.914022789
307	1.913968546
308	1.913911971
309	1.913861266
310	1.913786869
311	1.913722708
312	1.913667306
313	1.913608127
314	1.913543814
315	1.913473423
316	1.913399162
317	1.913327395
318	1.913263573
319	1.913204312
320	1.913136734
321	1.91308311
322	1.913031872
323	1.912980926
324	1.912922571
325	1.912849572
326	1.912777933
327	1.912718197
328	1.912654438
329	1.912604015
330	1.912525906
331	1.912459549
332	1.912398264
333	1.91234277
334	1.912279748
335	1.912220804
336	1.912155358
337	1.912092141
338	1.912030655
339	1.911973779
340	1.911909196
341	1.911849372
342	1.91178116
343	1.911716796
344	1.911643136
345	1.911592318
346	1.911530482
347	1.91147514
348	1.911416181
349	1.911368648
350	1.91130047
351	1.911223445
352	1.911169261
353	1.911107664
354	1.911043114
355	1.910978286
356	1.910917093
357	1.910849724
358	1.910793729
359	1.910738257
360	1.910680997
361	1.91061545
362	1.910555938
363	1.910490569
364	1.910430737
365	1.910378552
366	1.91031147
367	1.910250585
368	1.910193355
369	1.910139172
370	1.910072414
371	1.910007121
372	1.909948635
373	1.909889316
374	1.90983204
375	1.909769184
376	1.909713411
377	1.909668449
378	1.909605783
379	1.90953535
380	1.909476299
381	1.909426253
382	1.909368218
383	1.909309654
384	1.909254881
385	1.909207172
386	1.909151905
387	1.909094139
388	1.909023215
389	1.908972423
390	1.908910772
391	1.908848311
392	1.908790904
393	1.908725069
394	1.908664117
395	1.908618805
396	1.908553158
397	1.908491837
398	1.908441259
399	1.908391575
400	1.908332048
401	1.908275519
402	1.90821602
403	1.908160704
